,API Name,Api Url,Api Description,Api Category
457,Coord Toll Search API,/api/coord-toll-search," The Toll Search API is a read-only Coord service that answers questions about the prices and locations of toll roads. Examples are available in NodeJS, cURL, Java, Python, Go and C#. Coord provides...", Transportation
458,Coord Curb Search API,/api/coord-curb-search, The Coord Curb Search API is a read-only service that provides access to a description of what you can do on a curb. API methods are available to retrieve uses (such as parking or loading) and..., Transportation
459,RBC Amortization Schedule API,/api/rbc-amortization-schedule," The RBC Amortization Schedule API calculates a number of payments associated with a mortgage amount, amortization period, interest details, and payment details. Developers can authenticate with basic...", Banking
460,WEX Public API,/api/wex-public," WEX.nz is a cryptocurrency exchange marketplace. Use the WEX Public API to construct apps that provide access to a variety of trading parameters including tickers of currency pairs, active orders on...", Cryptocurrency
461,DroneBase Partners Webhooks API,/api/dronebase-partners-webhooks," The DroneBase Partners Webhooks API will POST the Mission payload documented above each time a mission is updated. In order to access this API and to enable webhooks for your account, please contact...", Images
462,DroneBase Partners Missions API,/api/dronebase-partners-missions," The DroneBase Partners Missions API is used to create missions in the DroneBase Platform in bulk. In order to access this API, please contact the DroneBase team. The endpoint and API version is not...", Images
463,TaxJar SalesTax API,/api/taxjar-salestax," The TaxJar SalesTax API provides information about sales tax rates, allowing to upload transactions and focus on business. The API discerns tax levels for different types of products, locations,...", Taxes
464,Expert Texting SMS API,/api/expert-texting-sms," The Expert Texting SMS API in REST architecture returns data of messaging and bulk SMS for marketing and advertising purposes. For authentication and formats, fill out the form https://www....", Text
465,Category,/category/all/apis?page=516&order=field_article_primary_category&sort=asc,N/A,N/A
466,Nexosis Machine Learning API,/api/nexosis-machine-learning, Nexosis offers a Machine Learning API which can be used to solve time series problems with impact analysis and forecasting. The API features dozens of algorithms that include error rate. Developers..., Machine Learning
467,SummarizeBot API,/api/summarizebot," The SummarizeBot API integrates artificial intelligence and blockchain-powered solutions for summarization, fake news detection, news aggregation, sentiment analysis, face detection, image...", Natural Language Processing
468,Aurora IDEX (Beta) API,/api/aurora-idex-beta, Aurora operates a decentralized cryptobanking and financial platform. The IDEX API allows you to develop applications that support the implementation of Aurora trading platform. The API conveys..., Cryptocurrency
469,OpenShot Video Cloud API,/api/openshot-video-cloud," The OpenShot Video Cloud API can be integrated into websites, mobile apps, and desktop apps to create, edit, transcode, and animate videos. It works alternatively as a REST framework compatible with...", Video
470,PlayerUnknown's Battlegrounds Developer API,/api/playerunknowns-battlegrounds-developer, This is the PlayerUnknown's Battlegrounds Developer API. It is a PUBG Game Data Service that allows users to have open access to in-game data. This data can then be used to build tools and services..., Games
471,OFX Payments API,/api/ofx-payments, The OFX Payments API allows you to get exchange rates across all your automated international payments. It unlocks the OFX International Payments network and makes cross-border payments using global..., Payments
472,Dynu API,/api/dynu," The Dynu REST API gives access to manage hostnames, DNS records, domain registrations, and email service settings without having to access the web interface. OAuth2 is required to authenticate and...", Domains
473,Alpha Vantage API,/api/alpha-vantage," The Alpha Vantage API integrates financial market data including stocks, physical currencies, digital/crypto currencies, technical indicators and other types of data. API Key is required to...", Financial
474,OFX Payments Notifications API,/api/ofx-payments-notifications, The OFX Payments Notifications callback allows you to specify the URL to where the OFX Payments API will push events to. The OFX Payments API allows you to get exchange rates across all your..., Payments
475,Nuzzel News Search API,/api/nuzzel-news-search," The Nuzzel News API gives developers access to news stories and social signals from top business influencers. Nuzzel News scans more than 100,000 news sources and 1,000,000 news stories daily....", News Services
476,Category,/category/all/apis?page=517&order=field_article_primary_category&sort=asc,N/A,N/A
477,Abucoins API,/api/abucoins," Abucoins is a Poland-based cryptocurrency exchange marketplace. The Abucoins API provides access to endpoints for generating information about product, orders, and fees. The RESTful API returns...", Cryptocurrency
478,Walls.io Social Wall API,/api/wallsio-social-wall," The Walls.io Social Wall API in REST architecture integrates social content from over fifteen social channels at once. Valid access token required for endpoints that, if called with GET request,...", Social
479,Horoscopes API,/api/horoscopes," The Horoscopes API is a JSON API which provides daily horoscopes and astrology content via simple API calls. The API allows you access 12 horoscopes every day, written by professional astrologers....", Astrology
480,OnApp Cloud API,/api/onapp-cloud, The OnApp Cloud API integrates cloud services with third parties. It is available in REST architecture with JSON and XML as the formats and Basic HTTP and API Key as the authentication methods. API..., Cloud
481,BigONE Exchange API,/api/bigone-exchange, BigONE is a world-leading secure and convenient multi-token exchange platform. The BigONE Exchange API supports integration of the BigONE trading functions in applications. The RESTful API conveys..., Cryptocurrency
482,isLocation API,/api/islocation, IsLocation is a web service dedicated to helping you handle location information within your apps. The isLocation API is a RESTful platform that supports the implementation of location concepts..., Location
483,AniList GraphQL API,/api/anilist-graphql," AniList is a platform that supports the tracking, discovery, and sharing of Anime...", Animation
484,Quoine Exchange API,/api/quoine-exchange," Quoine Exchange is an Asian cryptocurrency marketplace with operations in Japan, Singapore, and Vietnam. The Quoine Exchange API allows you to build applications that connect to the Quione trading...", Cryptocurrency
485,Google Cloud Billing Catalog API,/api/google-cloud-billing-catalog," The Google Cloud Billing Catalog API allows you to get Google Cloud Platform Pricing Information. This includes; a list of all public services, relevant metadata about each service, a list of all...", Billing
486,MixCoins API,/api/mixcoins, MixCoins is a global bitcoin exchange that provides a secure environment for implementing Bitcoin sale and purchase transactions. The MixCoins API provides a RESTful platform for developing..., Bitcoin
487,Category,/category/all/apis?page=518&order=field_article_primary_category&sort=asc,N/A,N/A
488,Liqui Exchange API,/api/liqui-exchange, Liqui Exchange is a Ukraine-based cryptocurrency trading platform. The Liqui Exchange API allows you to build apps that connect to the cryptocurrency marketplace. Use the RESTful API to provide..., Cryptocurrency
489,CoinTree API,/api/cointree, CoinTree is an Australian Bitcoin exchange marketplace. The CoinTree API supports the integration of CoinTree’s Bitcoin trading functions in applications., Bitcoin
490,CyberSource Samsung Pay API,/api/cybersource-samsung-pay, The CyberSource Samsung Pay API returns mobile payment data. Developers can use XML and SOAP as the formats and authenticate with HTTP basic. Samsung SDK available., Payments
491,CyberSource Visa Pay API,/api/cybersource-visa-pay, The CyberSource Visa Pay API returns mobile payment data to integrate Visa into a system. Developers can use XML and SOAP as the formats and authenticate with HTTP basic. Name-Value Pair and XML..., Payments
492,CyberSource Masterpass Pay API,/api/cybersource-masterpass-pay," The CyberSource Masterpass Pay API returns mobile payment data. Developers can use XML and SOAP as the formats and authenticate with HTTP basic. Available supported countries, 3D secure, and decision...", Payments
493,CyberSource Chase Pay API,/api/cybersource-chase-pay, The CyberSource Chase Pay API returns mobile payment data to integrate Chase Banking features into a system. Developers can use XML and SOAP as the formats and authenticate with HTTP basic. Learn How..., Payments
494,CyberSource Apple Pay API,/api/cybersource-apple-pay," The CyberSource Apple Pay API returns mobile payment data. Developers can use XML and SOAP as the formats and authenticate with HTTP basic. With ApplePay, developers can implement in app transactions...", Payments
495,CyberSource Android Pay API,/api/cybersource-android-pay," The CyberSource Android Pay returns mobile payment data. Developers can use XML and SOAP as the formats and authenticate with HTTP basic. With Android Pay, enable users, request masked and full...", Payments
496,CyberSource Invoicing API,/api/cybersource-invoicing, The CyberSource Invoicing API returns mobile payment data to integrate invoices into a system. Developers can use XML and SOAP as the formats and authenticate with HTTP basic., Payments
497,CyberSource Cash Payments API,/api/cybersource-cash-payments," The CyberSource Cash Payments API returns mobile payment data. Developers can use XML and SOAP as the formats and authenticate with HTTP basic. With the API, they can implement Multibanco Services.", Payments
498,Category,/category/all/apis?page=519&order=field_article_primary_category&sort=asc,N/A,N/A
499,Dreamhack Crew Corner API,/api/dreamhack-crew-corner," DreamHack is possibly the world's largest computer festival. Happening twice a year, the Swedish festival includes digital art and gaming competitions, concerts, and other events.
The DreamHack Crew...", Events
500,RankCrew API,/api/rankcrew," RankCrew is a manual link building service providing SEO products for new and established sites. The RankCrew API allows customers to programmatically place a variety of service orders, request...", URLs
501,CrewRevu API,/api/crewrevu, CrewRevu allows users to create a snapshot of their online social activity to give employers a better idea of who they are and present their own personal brand. Users can showcase information taken..., Jobs
502,IPv4 API,/api/ipv4, IPv4.cf is a free IP Lookup service for non-commercial use. Ipv4.cf provides a public free REST API for doing a lot of Geotargeting or IP Address Lookups through multiple response formats. It..., Tools
503,PaymentVault API,/api/paymentvault, Auric Systems International is a PCI compliant solutions provider that produces payment transaction processing applications from cryptographic key management to tokenized credit card storage.The..., Payments
504,Juice In Da City API,/api/juice-da-city," Juice In Da City is a social site celebrating urban rap culture, hosting videos, photos, radio, and event tickets. The Juice In Da City API exposes the platform's user base, providing developer...", Social
505,ReciPal API,/api/recipal," Recipal provides cloud-based services for food businesses, including nutrition analysis, nutrition fact labels, ingredient lists, recipe costing, and recipe management. The Recipal API provides a...", Food
506,Mercado-Bitcoin API,/api/mercado-bitcoin," Mercado-Bitcoin is an Argentine bitcoin exchange that provides trade quotes in pesos and bitcoin. The Mercado-Bitcoin API allows users to make calls to get the Last Trade, last average price, mtgox...", Financial
507,Delivery.com API,/api/deliverycom," Delivery.com provides a database of restaurants, fast food establishments, dry cleaners, and liquor stores that provide delivery options. Users can search locally for places that provide delivery,...", eCommerce
508,Trekksoft API,/api/trekksoft," Trekksoft is an online platform for ticket, tour, and travel bookings and payments. Trekksoft offers a variety of online solutions for travel providers.
The Trekksoft API allows developers to access...", Travel
509,Payza API,/api/payza, Payza is a global online payment platform that enables consumers and businesses to send and receive money instantly. The Payza API provides a developer interface for interacting with this platform...., Payments
510,GPSies API,/api/gpsies," Billing itself as tracks for vagabonds, GPSies is an online community built around sharing hiking, running, and cycling routes via GPS recorded tracks. Users either draw or import routes onto GPSies...", Mapping
511,IDX Broker API,/api/idx-broker," IDX Broker is a provider of real estate search applications. IDX, LLC actively manages more than $1 trillion worth of active listings data from more than 550 individual Multiple Listings Services (...", Real Estate
512,Digiadverts API,/api/digiadverts," Digiadverts is a marketing and advertising service that offers customers bulk sms services, two-way sms service, mobile coupons, and an sms gateway. The Digiadverts API provides developers with the...", Advertising
513,Sqwiggle API,/api/sqwiggle," Sqwiggle is an online workplace for remote teams. Sqwiggle features include online collaboration software, always-on video conferencing, drag and drop file uploading, and group video chat.
The...", Office
514,BetterServers API,/api/betterservers," BetterServers provides users with fast cloud servers that can be deployed in less than ten seconds. Users may deploy whatever number of servers they need, from one to over one thousand. BetterServers...", Backend
515,fastsms API,/api/fastsms, Fastsms provides cloud-based SMS services that operate over tier 1 UK network routes. Pricing for texts starts at 2.1 pence per message. Customer support is available at all times. Developers can..., Messaging
516,CradlePoint API,/api/cradlepoint, CradlePoint provides networking solutions and mobile broadband services. They offer high-performance routers that can be managed remotely through their Enterprise Cloud Manager server. Developers can..., Cloud
517,Stockholm Film Festival API,/api/stockholm-film-festival," The Stockholm Film Festival is a 12-day event that includes screenings of 170 films from over 40 countries. The screenings are accompanied by film quizzes, parties, seminars, and other activities....", Events
518,NoteHub API,/api/notehub," NoteHub is a free, anonymous pastebin designed specifically to provide one-off publishing for Markdown pages. Users can specify a font and color scheme for each page. Pages come with their own short...", Tools
519,BlueTarp Authorization API,/api/bluetarp-authorization, BlueTarp Financial is a financial services company dedicated to serving building supply dealers in the U.S. BlueTarp provides a transaction authorization API that developers can integrate into their..., Payments
520,CocoaPods API,/api/cocoapods," CocoaPods is a dependency manager for Objective-C. It can handle cross-dependency resolution, semantic version managements, and automatic integration. CocoaPods does not automatically resolve...", Tools
521,Plivo Voice Chat API,/api/plivo-voice-chat," Plivo Voice Chat is a free, open-source audio conferencing service. To get started, users simply create a conference room, invite others to the URL provided, and begin talking. Conference rooms are...", Chat
522,Apportable API,/api/apportable, Apportable is a platform to convert iOS games into games that can work on the Android platform as well. Apportable allows developers to create and maintain games for Android without having to change..., Games
523,BahaQuote API,/api/bahaquote," Bahaquote is an invoicing and expensing service that provides users with access to online invoicing, expense monitoring, mobile access, email marketing, and other features. The Bahaquote platform can...", Financial
524,Category,/category/all/apis?page=520&order=field_article_primary_category&sort=asc,N/A,N/A
525,AudD Music Recognition API,/api/audd-music-recognition, AudD Music Recognion API recognizes music by audio fragments (like Shazam); by humming; by text (by excerpt from the lyrics). API returns music metadata and lyrics. The API allows you to send GET and..., Music
526,Kucoin API,/api/kucoin, Kucoin is a Hong Kong-based cryptocurrency exchange marketplace for Bitcoin and other digital assets. The Kucoin API allows you to build applications that connect to the Kucoin trading platform. Use..., Cryptocurrency
527,Press Association Olympics API,/api/press-association-olympics," Press Association Olympics API captures official data associated with various Olympics games including the Olympic Winter Games PyeongChang 2018, Paralympic Winter Games PyeongChang 2018, and Olympic...", Sports
528,Kuna Exchange API,/api/kuna-exchange, Kuna Exchange is a Ukrainian cryptocurrency marketplace for Eastern Europe. Use the Kuna Exchange API to build applications that connect to the Kuna cryptocurrency trading platform., Bitcoin
529,Procore Connect API,/api/procore-connect, The Connect API allows developers to connect with company and project level resources of the Procore platform. OAuth 2 is the preferred authentication model. The Procore Connect API offers a cloud..., Project Management
530,Independent Reserve Airbridge API,/api/independent-reserve-airbridge, The Independent Reserve is a Bitcoin exchange market with operations in Australia and New Zealand. The Airbridge™ API allows you to build third-party apps that connect to the Independent Reserve..., Bitcoin
531,Coingi Exchange API,/api/coingi-exchange, The Coingi Exchange allows you to integrate Coingi.com’s trading functions in your apps. The RESTful API provides endpoint for both public and private functions. It returns responses in JSON format., Cryptocurrency
532,Swift SMS Gateway API,/api/swift-sms-gateway," The Swift SMS Gateway API supports messaging, international texting, dedicated longcode, message polling, SSL security, and more. Additionally, the API supports over 800+ carriers. JSON is the...", Messaging
533,Screenshot Bin API,/api/screenshot-bin," The Screenshot Bin API captures highly customizable screenshots and thumbnails generated within third-party applications. Screenshot Bin is free to start. The API supports web fonts, SVG, canvas,...", Screenshots
534,Cloud Elements Monitoring Hub API,/api/cloud-elements-monitoring-hub, The Cloud Elements Monitoring API returns JSON data to monitor user activity. Developers require token and secret to authenticate. Cloud Elements is an API integration provider., Cloud
535,Category,/category/all/apis?page=521&order=field_article_primary_category&sort=asc,N/A,N/A
536,VSee API,/api/vsee," VSee is a video conference and screen share service that provides users with a private and secure way to collaborate through video communication. The service provides one-click application sharing,...", Video
537,Ziggeo Webhooks API,/api/ziggeo-webhooks," Ziggeo powers videos everywhere. We've developed the leading asynchronous video recording/playback technology. Our set of APIs and SDKs lets you easily capture, curate and manage user-generated and...", Video
538,WhyJustRun API,/api/whyjustrun," WhyJustRun is a Canadian running group that includes orienteering in its races. Runners can pick their own routes between checkpoints, navigating with the aid of map and compass. The WhyJustRun API...", Sports
539,Andertoons API,/api/andertoons," Andertoons is a site for the cartoons by Mark Anderson. The site allows users to browse through the comics he has created by category, tag, alphabetically, and many other criterion. The Andertoons...", Entertainment
540,TopCoder API,/api/topcoder," TopCoder brings developers together for competitions in the fields of Design, Development, and Data Science. Competitors are encouraged to collaborate with and learn from each other within the...", Other
541,Census Reporter API,/api/census-reporter," Census Reporter is a service for accessing and making sense of U.S. Census data. Information is divided into categories, and users can search for information by topic or keyword. Each data point...", Reference
542,Zipwhip API,/api/zipwhip," Zipwhip provides cloud-based texting services that leverage the user's existing mobile and landlines, allowing them to send and receive texts from any device that connects to the internet. This...", Messaging
543,Way2VoiceSMS API,/api/way2voicesms," Way2VoiceSMS provides bulk SMS services for sending messages in text, Unicode, WAP push, and long text format. Message recipients can be chosen based on their location or any other information the...", Messaging
544,ChurchMetrics API,/api/churchmetrics," ChurchMetrics is a web-based church management service that helps churches keep track of important information. Trackable information includes attendance, donations, baptisms, and more. Historical...", Other
545,osu! API,/api/osu," Osu! Tatakae! Ouendan is a Nintendo DS game based on using simple gestures to match the rhythms of popular Japanese songs. This game has been adapted for the PC, and on the osu! website, players can...", Games
546,ProofHub API,/api/proofhub," ProofHub is all-in-one, web-based project management software. It allows team members to plan and organize projects using calendars, notes, charts, lists, timesheets, chatting, and discussions. Users...", Project Management
547,Venturocket API,/api/venturocket," Venturocket is a service that helps job seekers get in direct contact with hiring managers and recruiters, rather than relying on a resume to get them a call. Venturocket functions like a dating site...", Jobs
548,Everysport API,/api/everysport," Everysport is a Swedish website that provides visitors with information and services relating to all kinds of sports. Site members can create user profiles, participate in discussions, create groups...", Sports
549,StreamWIDE Call Screening API,/api/streamwide-call-screening," StreamWIDE is a company that provides carrier-grade Value Added Services (VAS) to mobile service providers. One of these services is Call Screening, which allows users to filter calls using...", Telephony
550,EXLX API,/api/exlx," EXLX.tk is a simple URL shortener. The site exposes its functionality through an API. Applications simply append the URL to be shortened, to a HTTP call, and the EXLX responds with the shortened URL.", URL Shortener
551,Template2pdf API,/api/template2pdf, Template2pdf is an API enabling developers to programmatically generate PDFs out of templates that non-technical people can define and modify. The service is intended to allow a developer's clients..., PDF
552,Marvel Comics API,/api/marvel-comics," The Marvel Comics API provides developer access to metadata describing Marvel's 70+ years of comics. The RESTful API delivers JSON formatted information about creators, characters, series, storylines...", Entertainment
553,Equestrian Beats API,/api/equestrian-beats," Equestrian Beats is a free My Little Pony themed music site, meant as a â€œplace for artists to publish their pony music, and the rest of us to listen.â€ The Equestrian Beats API provides read-only...", Music
554,RunningAHEAD API,/api/runningahead," RunningAHEAD is a collection of free online running tools, including a running log, maps, training plans, and more. The RunningAHEAD API is able to programmatically access user information and...", Sports
555,FraudAssets API,/api/fraudassets," FraudAssets is an online BIN database service that is designed to help card merchants identify and eliminate fraud risks from their business. The service manages a database of bank card data, and...", Security
556,LawfulBank API,/api/lawfulbank," LawfulBank is a group of individuals focused on ending debt slavery for the average person. The LawfulBank API allows users to make calls to get lists of friends, get mail, get notifications, and get...", Social
557,NextMark API,/api/nextmark," NextMark is a marketing management company that provides media planning, media operations, and media sales services to users across the country. The NextMark API was designed to allow users to...", Advertising
558,NYXdata API,/api/nyxdata, NYSE Technologies market data is a financial information provides live data across a variety of exchanges. The NYXdata API provides users access to data subsets they are interested in. Users can..., Financial
559,Financial-Sanctions API,/api/financial-sanctions, Financial-Sanctions is a financial information verification service that helps U.K. based companies comply with government and FCA regulations. The company offers to check existing clients against..., Financial
560,Nordea FX API,/api/nordea-fx," The Nordea FX API enables developers to execute FX transactions from their own systems. Access to the API is granted on a case-by-case basis to corporations, hedge funds, banks, brokers, and...", Financial
561,Category,/category/all/apis?page=522&order=field_article_primary_category&sort=asc,N/A,N/A
562,Google Custom Search Element Control API,/api/google-custom-search-element-control, The Custom Search Element Control API allows you to embed Custom Search components in your web pages and other web applications using HTML markup. It offers a way to customize search boxes with some..., Search
563,GetBTC API,/api/getbtc, GetBTC is a Bitcoin exchange market. The GetBTC API facilitates the construction of apps that connect to the GetBTC API. Use HTTP Requests to integrate the API in your applications., Bitcoin
564,SafeTrek API,/api/safetrek," The SafeTrek API transforms applications and devices into life-saving tools the instant they are synced with a SafeTrek account. Once connected, devices can be used to trigger an alarm, and share...", Safety
565,SheetDB API,/api/sheetdb," SheetDB allows to use Google Spreadsheet as a RESTful API. Read, write or delete any data by simple POST, PUT and DELETE requests. It provides a way to use a spreadsheet document to access the setup...", Spreadsheets
566,Cloud Elements Helpdesk Hub API,/api/cloud-elements-helpdesk-hub," The Cloud Elements Helpdesk API returns JSON data to access incident types, comments, history, priorities, statuses, and users. To authenticate, developers require token and secret. Cloud Elements is...", Cloud
567,Cloud Elements Event Conferencing Hub API,/api/cloud-elements-event-conferencing-hub," The Cloud Elements Event Conferencing API returns JSON, authenticated via token and secret. With the API, developers can create teleconferences assisted by cloud services. Cloud Elements is an API...", Cloud
568,Cloud Elements Enterprise eSignature Hub API,/api/cloud-elements-enterprise-esignature-hub," The Cloud Elements Enterprise eSignature API returns JSON data to access envelopes, documents, certificates, and recipients. To authenticate, developers require token and secret. Cloud Elements is an...", Cloud
569,Cloud Elements eCommerce API,/api/cloud-elements-ecommerce," The Cloud Elements eCommerce API returns JSON data related to abandoned checkouts, customers, orders, payments, refunds, and products. Developers require token and secret to authenticate. Cloud...", Cloud
570,Cloud Elements Enterprise Resource Planning API,/api/cloud-elements-enterprise-resource-planning," The Cloud Elements Enterprise Resource Planning API returns JSON data to access contacts, credit, employees, invoices, accounts, payments, orders, and vendors. To authenticate, developers require...", Cloud
571,Tidex Trading API,/api/tidex-trading, Tidex is a cryptocurrency exchange and Bitcoin trading marketplace. The Tidex API allows you to build cross-platform trading applications. The RESTful API returns all responses in JSON format., Cryptocurrency
572,Category,/category/all/apis?page=523&order=field_article_primary_category&sort=asc,N/A,N/A
573,Sequence API,/api/sequence," The Sequence API offers a cloud-based ledger which allows companies to focus on product development and delivery. Sequence can be integrated with mobile wallets, lending platforms, payment services,...", Accounting
574,Lykke Trading API,/api/lykke-trading," Lykke is a Swiss provider of cryptocurrency trading solutions. The Lykke Trading API is used to access trading history, updated asset pairs, orders, and wallets. The API offers complete support for...", Cryptocurrency
575,Mozilla Web Animations API,/api/mozilla-web-animations, The Web Animations concept allows you to synchronize and time changes to a Web page’s presentation. It uses a combination of the Timing Model and the Animation Model to implement the synchronization..., Animation
576,C-CEX API,/api/c-cex, C-CEX is a cryptocurrency trading platform. The C-CEX API supports the integration of the cryptocurrency trading functionalities in applications., Cryptocurrency
577,Conflict Games Slapbot API,/api/conflict-games-slapbot," The Conflict Games Slapbot API offers hilarious slapping insults and threats. The API supports several phrase libraries to choose from, and the Slapbot is trained by professional comedians. JSON is...", Humor
578,Applanga API,/api/applanga," The Applanga API automates the process of translating applications into different languages. The API is used to request and send translation data, and to request screenshots. JSON is the preferred...", Localization
579,FYB-SE API,/api/fyb-se, The FYB-SE is a Bitcoin exchange marketplace. The FYB-SE API provides a RESTful platform for integrating Bitcoin trading functions in applications., Bitcoin
580,Lingotek API,/api/lingotek," The Lingotek API allows developers to submit content to be translated, check translation status, and to download translations in third-party applications. Data is returned in JSON format. The API...", Translation
581,Wirefree Thought GeoDB Get-City-Distance API,/api/wirefree-thought-geodb-get-city-distance," The Wirefree Thought GeoDB Get-City-Distance API returns the straight-line distance between any two cities. Responses may be given in either miles or kilometers, depending on the units specified in...", Location
582,Solunar API,/api/solunar, The Solunar API provides developers with programmatic access to solunar table data for a specified location. This API is designed to allow fisherman and hunters to determine the best days and times..., Astronomy
583,Category,/category/all/apis?page=524&order=field_article_primary_category&sort=asc,N/A,N/A
584,Who Hosts This API,/api/who-hosts, The Who Hosts This API offers JSON formatted data about a website's hosting provider. Requests require API Key information per call., Hosting
585,WebCargo Domain Check API,/api/webcargo-domain-check, The WebCargo Domain Check API (also referred to as the Domain Availabily API) allows you to deeply probe a domains availability. The RESTful API also uses multiple methods to check an email addresses..., Domains
586,WebCargo Geolocate IP API,/api/webcargo-geolocate-ip, The WebCargo Geolocate IP API (also known as Simple JSON IP Lookup API) allows you to check the location of any IPv4 or IPv6 address. This REST API uses multiple methods to query an IP address and..., Location
587,WebCargo Screenshot API,/api/webcargo-screenshot," The WebCargo Screenshot API allows you to capture screenshots in PNG, JPG and GIF format from any website. With this API, you can set the height, width, and a custom timeout to make sure you take the...", Screenshots
588,WebCargo Email Check & Webform API,/api/webcargo-email-check-webform, The WebCargo Email Check..., Validation
589,WebCargo Whois API,/api/webcargo-whois," The WebCargo Whois API provides a standardized JSON WHOIS responses. This REST API allows for simple WHOIS data manipulation.
The API uses standard HTTP response codes to communicate the result of...", Domains
590,Hooks Data Webhooks API,/api/hooks-data-webhooks, The Hooks:Data API allows developers to access Hooks alerts and data notifications to integrate with their applications. Hooks:Data allows users to get real-time updates through push notifications on..., Notifications
591,Mapline API,/api/mapline," Mapline's API allows you to build maps and upload datasets to be used with your internal systems. API methods are available for managing users, authentication, managing datasets, creating records,...", Mapping
592,PopcornNotify API,/api/popcornnotify, The PopcornNotify API allows you to build apps for sending simple emails and text messages. Its access requires an API Key that costs $10 for each batch of 1000 messages and last one year. The API’s..., Messaging
593,Exmo Exchange API,/api/exmo-exchange," The Exmo Exchange API supports the construction of applications that connect to the Exmo trading platform. It provides access to public, authenticated, excode, and wallet endpoints.", Bitcoin
594,Category,/category/all/apis?page=525&order=field_article_primary_category&sort=asc,N/A,N/A
595,WebXR Device API,/api/webxr-device, The WebXR Device API is a WebXR service that provides access to input and output capabilities that are associated with Virtual Reality (VR) and Augmented Reality (AR) hardware headsets. The WebXR..., Augmented Reality
596,Genesys Phone Number Validation API,/api/genesys-phone-number-validation," The Genesys Phone Number Validation API parses, formats, and validates international phone numbers. It includes Java, C++, and JavaScript libraries, along with Google Mobile Service under Apache...", Customer Service
597,Genesys Storage API,/api/genesys-storage, The Genesys Storage API allows to temporarily store arbitrary data. It is available with JSON objects to make calls that return HTTP code and HTTP messages as responses. Genesys provides customer..., Customer Service
598,Genesys Callback Services API,/api/genesys-callback-services," The Genesys Callback Services API allows adding a callback service, defining a service name. With the API in REST architecture and JSON formats, developers can start callback, cancel callback,...", Customer Service
599,SFOX API,/api/sfox, The SFOX crypto currency exchange platform supports Bitcoin sale and purchase transactions. Use the SFOX API to build applications that connect to the SFOX trading platform. The API returns JSON-..., Bitcoin
600,flowBTC API,/api/flowbtc, flowBTC is a Brazilian digital trading platform. The flowBTC API supports the integration of cryptocurrency trading functionality in applications. The API provides both Private and Public endpoints., Cryptocurrency
601,Zapic API,/api/zapic," The Zapic API can be used to access game events, statistics, and achievements. Zapic provides an engagement platform designed for mobile gaming integrations. Zapic offers leaderboards, engaging...", Games
602,CSS Paint API,/api/css-paint, The CSS Paint API allows web developers to generate an image programmatically whenever a CSS property is expecting an image. This allows them to use paint(myPainter) to reference a paint worklet..., Images
603,Discount API,/api/discount, The Discount API allows developers to include interesting local deals and discounts in their app or website. These deals come from a variety of sources to ensure that there are options appropriate..., eCommerce
604,Google Cloud Billing RPC API,/api/google-cloud-billing-rpc," The Google Cloud Billing RPC API allows developers to manage billing for their Google Cloud Platform projects programmatically. This includes services for; GetBillingAccount, GetProjectBillingInfo,...", Billing
605,Category,/category/all/apis?page=526&order=field_article_primary_category&sort=asc,N/A,N/A
606,TextIt API,/api/textit," TextIt is a service for building SMS applications. It is designed to help people who are not programmers create and modify SMS applications using the visual, interactive Flow engine. Once created,...", Backend
607,Slick Text API,/api/slick-text," Slick Text is an SMS marketing service. It allows users to send bulk texts instantly or schedule deliveries for a later time and date. Users can also send marketing campaigns from their cell phones,...", Messaging
608,Event SMS API,/api/event-sms, Event SMS is a Nigerian bulks SMS provider. New users get SMS credits with registration so that they can try out the service for free. The Event SMS API allows both developers and resellers to..., Messaging
609,Paymate API,/api/paymate," Paymate is a secure payment system enabling users to accept credit card payments both online and via mobile devices. The Paymate API allows developers to programmatically update payment statuses,...", Payments
610,TheNile.co.nz API,/api/thenileconz," TheNile.co.nz is a New Zealand online department store. The Nile carries books, baby supplies, health and beauty, home and garden, pets, movies, music, sports and outdoors, textbooks, and toys. The...", eCommerce
611,FixMyStreet API,/api/fixmystreet," FixMyStreet.org.nz is a web site built to help New Zealanders make service requests to their local council. Examples of requests would be to fix issues such as graffiti, unlit lampposts, or damaged...", Government
612,Eve-Central API,/api/eve-central," Eve-Central is online marketplace where users can buy and sell goods. The Eve-Central API allows users to query to retrieve aggregate statistics for the items specified within a marketplace, retrieve...", Games
613,AddressFinder API,/api/addressfinder," AddressFinder delivers data describing New Zealandâ€™s two million addresses. The AddressFinder API allows developers to programmatically access this data, as well as information on the countryâ€™s...", Mapping
614,Trade.tf API,/api/tradetf," Trade.tf is a product sales site for steam users. Users can post for sale or buy items. The site includes trading segregated by quality, spreadsheets of pricing, and crates of items. The Trade.tf API...", Games
615,Crazy Domains API,/api/crazy-domains, Crazy Domains is an international domain name registrar that also provides web hosting and online marketing services. The Crazy Domains API provides developer access to the companyâ€™s reseller..., Domains
616,Currenex API,/api/currenex," Currenex is a financial pricing service that offers Executable Streaming Prices (ESPâ„¢), Algorithmic Trading, Benchmark Trading, Request For Streams (RFS), and brokerage functionality with...", Financial
617,Cex.io API,/api/cexio," Cex.io is a Bitcoin commodity exchange that that doesn't sell bitcoins, but shares in the equipment used to mine them. Users have ownership shares, and pay a fee for equipment cost and upkeep, and...", Financial
